Genes/Conditions	col0	col1	col2	col3	col4	col5	col6	col7	col8	col9	col10	col11	col12	col13	col14	col15	col16	col17	col18	col19	col20	col21	col22	col23	col24	col25	col26	col27	col28	col29	col30	col31	col32	col33	col34	col35	col36	col37	col38	col39	col40	col41	col42	col43	col44	col45	col46	col47	col48	col49	col50	col51	col52	col53	col54	col55	col56	col57	col58	col59	col60	col61	col62	col63	col64	col65	col66	col67	col68	col69	col70	col71	col72	col73	col74	col75	col76	col77	col78	col79	col80	col81	col82	col83	col84	col85	col86	col87	col88	col89	col90	col91	col92	col93	col94	col95	col96	col97	col98	col99
row0	0.340045883399	-0.29399939812	0.609988399563	0.174879870031	-0.0102174060287	-0.282488311584	-0.779851608192	-0.500798239829	0.0190727762121	1.33719907012	-0.934299549193	-0.0879623805057	-0.451112986804	-0.222583482195	0.050573290905	0.0810140946843	-0.51986888246	-1.35321318373	-0.933413458067	-0.26773066762	0.873669419667	0.725119680468	-0.766431339137	0.0334316217378	-0.00481109397884	0.39206768158	1.10632737897	0.107515455055	0.865441855355	1.01690007451	-1.85810870557	0.644265502151	-0.555618491261	-2.13158005842	-1.10175609996	1.1926390661	1.130237343	-0.76423681709	0.0715661633754	-1.53523432604	0.258698121739	-0.261927764638	-0.239520533022	1.7952828343	1.54224151386	-1.1912173563	1.16408469099	0.0944432953621	-0.21617955803	-0.126939764889	-0.0568537059145	1.38787517308	0.943746508523	0.761977333217	-0.303035117313	1.24165140468	0.746983731259	-0.175646755293	0.0767156130193	-0.897596153105	-1.15706281456	-0.7339509232	-1.05367454906	-0.535064025967	0.177452898347	1.31466517994	0.867076454965	-1.51133603493	-2.07520013875	-0.0479456371398	-0.498265980085	1.43553858714	0.313104278761	-0.278083927551	-1.84534512853	0.3189139188	-0.769678131283	-0.996695463634	-0.303598559829	1.444529765	1.00094573838	-0.690792732291	1.36580867976	1.43637741962	1.64325587054	0.214871389149	1.40506294158	0.280842308984	0.632652091113	-0.171989348989	1.73770132634	-0.380088648199	1.40560803671	1.44924088976	1.1889116819	0.170985101741	-0.574313885629	3.18787669903	0.593288341724	-0.00519111586266
row1	-1.32762095855	0.171353676556	-0.446999188023	-0.313786447211	0.601137779126	-1.16632506455	0.800048908359	-0.473018168746	-1.32688773379	0.952664892984	0.633759722661	0.938097629681	0.320103795892	-0.147177229491	-1.08795775807	1.0745689448	0.511511825343	-1.88232231007	0.0903336834756	1.50620466329	1.30823684573	-0.849659293645	-0.514353985187	-0.0823001276724	0.14769661397	-0.0107706164978	0.780091142326	1.22710199347	-0.31208681273	-0.185654596988	-0.567070987059	0.73671354002	-0.197933677466	-0.00965751329492	-1.00373692208	-0.558409682151	0.203900241135	0.227740707726	0.423845486834	-0.140734803157	1.80132684481	0.46311639734	-0.315220968225	-0.285278206172	2.08309191498	1.66388275733	-0.892735947504	2.51974662465	-0.520722199272	0.316906904287	0.132520669224	0.318333764321	-0.494563956694	-0.435534822756	-1.05863197138	-1.21761224075	-2.4994734511	-0.742190820027	-0.118677599304	-0.289199049948	-1.00429686214	-0.0306787494286	1.03247122754	-0.899654309965	-0.393369314548	0.910410369723	-0.309082100426	1.5182499022	0.612914067151	0.904667197521	-0.965599265396	1.0954724185	-0.232624257629	-0.0856932157704	-1.38527570909	1.23427336584	0.24461803869	0.514605036662	-0.370023856554	-0.00559527903058	-2.26031645657	-0.278502971009	-0.23925040406	-1.87836968988	-0.686098077988	-1.07542486348	0.661485479514	1.24066563835	0.581295282638	0.801125470707	-0.236607337746	0.219591294657	0.0859203953058	1.18362709591	0.766842198823	-1.37033899511	0.50991297014	-1.73310331089	1.37318122904	-0.913919934124
row2	-1.46969706421	-0.295707105143	5.0	-1.04473730796	-0.0783188680963	5.0	5.0	5.0	1.76649685863	5.0	5.0	-0.853753223413	5.0	5.0	5.0	5.0	5.0	5.0	5.0	-0.0161835209614	0.939652886229	5.0	-0.730070370374	5.0	5.0	5.0	-0.514351068949	5.0	0.0193089107453	-1.59762978515	0.299062672515	-0.615190125016	0.156194794275	-0.214771715402	5.0	0.180902622638	5.0	-1.05534521487	5.0	5.0	-1.35601233723	5.0	-0.488939377294	0.253162784609	0.206964623112	5.0	1.08100668825	5.0	5.0	5.0	0.343226292874	-2.00886399756	-0.994784530099	5.0	-0.372998641528	0.855290942291	5.0	5.0	5.0	5.0	0.814104269627	5.0	5.0	5.0	5.0	5.0	1.41882121302	5.0	2.01357038957	5.0	0.478081797318	5.0	1.5167735993	5.0	-0.936942995862	-0.536188610332	0.589231420459	0.330766888752	0.087022748896	0.64848575748	5.0	5.0	-0.596942120095	5.0	5.0	1.5952214012	0.0205831608709	-0.885387125095	5.0	0.692370837187	5.0	1.71496639672	-0.265778609734	0.24048434314	1.42490521829	1.63883932762	1.0423142455	5.0	5.0	5.0
row3	1.17864711674	2.41149065624	0.550451964627	-0.985500231379	1.09020146436	1.14777544858	0.651256724101	-1.42513306851	-0.0276732803528	-0.745320301927	-1.14866445402	-0.691392648642	0.478976194406	-0.393514417107	0.761817124759	0.85299888811	0.859733211007	-1.61139673537	-0.323947105924	0.121336600921	0.169660087866	2.010592211	0.0426785435095	-1.93076506475	2.28361346933	-0.245255772399	0.508757481041	0.516873701481	2.51708979867	-1.06782877493	-0.0916840240244	-1.20916542516	0.723447804001	-1.01457581188	0.907572268311	-0.528547245802	-1.84986546284	-0.0144317169039	1.11920175349	1.31899286827	-0.554326147724	0.656766246175	-0.141089768966	0.302248082883	-1.12106540616	-0.664035983712	-0.750918771511	-0.908081167514	0.134364403839	0.277846051459	1.23993949668	0.183045733779	0.475317071142	-0.878820832511	0.0720270786513	0.746670901528	-0.0336367555085	0.327130501663	-0.819377712164	0.78972160481	-1.86623125447	-1.3367131157	1.69163962436	-0.292981627556	-0.579494246633	-0.14729516974	0.595413038752	-1.14451020979	0.577606984253	-0.335923930803	-1.03297008907	-0.807721134954	-0.391968244015	0.857953153365	1.11089101821	0.511638425344	-0.645709860816	-0.626735719784	-0.0702926931107	0.135394718541	-0.276842210073	-1.04851545253	1.81572286118	-0.457405246461	-0.265622313377	-0.539322505128	1.55465115925	-0.341083160629	0.692802475245	0.647552196418	2.2266938519	-0.96318171377	0.681200574497	1.81466025627	-1.50251210916	-0.631086328464	-0.403992390266	-0.405504471545	-2.3900769959	1.78799976015
row4	-0.296072684239	1.1036544787	5.0	1.20570023729	0.495353858778	5.0	5.0	5.0	0.345355054757	5.0	5.0	-0.749222749561	5.0	5.0	5.0	5.0	5.0	5.0	5.0	0.798018064285	2.03863899307	5.0	0.950385414949	5.0	5.0	5.0	0.607760971465	5.0	0.161355336137	-0.846781285419	-0.479337116606	-0.798270570358	0.949988269282	0.63938317994	5.0	0.609056851524	5.0	0.834458878454	5.0	5.0	1.65909285273	5.0	0.968858080041	0.958027782427	1.34507632408	5.0	1.92193665018	5.0	5.0	5.0	1.03018873796	0.432834385461	0.447215058258	5.0	-0.964945811802	2.09302261273	5.0	5.0	5.0	5.0	1.74412381575	5.0	5.0	5.0	5.0	5.0	-1.32388398361	5.0	0.127807744974	5.0	0.185101926527	5.0	-0.689508363013	5.0	-0.662676419095	-0.569458552822	-0.726665507369	0.828771357899	-0.6801870396	-0.0842702626122	5.0	5.0	1.48566266671	5.0	5.0	-1.77578574744	0.412223260359	-0.359743627421	5.0	-0.924640337159	5.0	1.10170465069	0.935551393107	1.50593878891	0.861801578325	-0.593809775277	-0.134530695362	5.0	5.0	5.0
row5	0.453748563712	0.636152207485	5.0	0.914203936675	0.146384482908	5.0	5.0	5.0	-0.0610084031092	5.0	5.0	-0.331273020662	5.0	5.0	5.0	5.0	5.0	5.0	5.0	0.0753545233092	1.11863535814	5.0	-0.645839544583	5.0	5.0	5.0	-0.511164319419	5.0	-0.810021038869	0.489250826826	-1.09253234941	-0.322561459057	-1.57984255867	-0.86326509274	5.0	-1.02070998993	5.0	1.38641537554	5.0	5.0	0.806085970812	5.0	-1.04519348558	0.319233047322	0.833606967328	5.0	0.101588585134	5.0	5.0	5.0	1.07451991439	-0.602063043254	1.21395700919	5.0	-0.765190884279	-1.44495531168	5.0	5.0	5.0	5.0	1.21764052972	5.0	5.0	5.0	5.0	5.0	-0.104464438665	5.0	-1.1244591079	5.0	0.401360697365	5.0	-1.29291143105	5.0	-0.67256657045	1.92825924887	-1.23217033337	0.604192448738	-0.65418390319	-1.42766727119	5.0	5.0	0.422138028958	5.0	5.0	1.0202638082	1.94701550507	0.686094757463	5.0	0.741880947865	5.0	0.338797622588	0.534161668594	1.95523107793	-0.163405021318	-0.683300162746	-0.545189999821	5.0	5.0	5.0
row6	-0.931454830282	1.05903621912	5.0	1.93193619724	1.45790035286	5.0	5.0	5.0	0.0989562855396	5.0	5.0	0.187021502164	5.0	5.0	5.0	5.0	5.0	5.0	5.0	-0.831380865027	2.13430655967	5.0	0.213790672842	5.0	5.0	5.0	3.05408913577	5.0	-0.0810238341534	-1.20484263226	-1.65325475881	1.33416646564	-0.2761843617	-0.0718598824439	5.0	1.62054045852	5.0	-0.153524712448	5.0	5.0	1.8117715061	5.0	-0.455020235001	0.926289878273	0.517756507181	5.0	1.66935358347	5.0	5.0	5.0	1.38524814325	1.30487702141	-0.976478322415	5.0	0.0847985457275	0.522085366299	5.0	5.0	5.0	5.0	1.42480983396	5.0	5.0	5.0	5.0	5.0	0.769462431859	5.0	0.325248051379	5.0	-1.34665548134	5.0	0.504684055664	5.0	-0.637806184496	0.950246782469	0.757891301033	-0.799715157388	-1.15873994551	-1.17033947005	5.0	5.0	-0.583298269574	5.0	5.0	1.72532130432	-0.589989532455	-0.0300154892906	5.0	1.09552925596	5.0	0.22220780994	0.453144507868	-0.0604290641779	-1.47169234554	0.304096726393	-0.184403009067	5.0	5.0	5.0
row7	-0.1887499045	-1.43484650126	1.77911967887	-1.63695999321	0.928903110235	-1.5906927569	-2.12523288784	-0.286966994797	-1.17239178991	1.54645062764	-0.763672074863	1.31890917826	0.256276813866	1.43766008791	0.880931316261	0.877520925965	-1.77680471382	-1.54679053016	0.773075690211	1.29218600443	-0.286129515162	-2.40562459521	-0.703461139035	0.141982365727	0.878057427583	-0.89221329973	-1.42708155177	-1.76400406104	2.13203295589	-0.903428661757	1.25082226529	1.32578046195	-0.637113042589	1.01472519722	1.2812434167	0.0881831601219	0.0508543570377	1.47909320919	-0.895680315293	0.491143742318	0.930239455901	-1.76095145356	0.355173175605	-0.0903202391835	0.187368375467	0.405031526907	-0.647291002017	-0.245399126646	0.59527749246	-0.874511358487	-1.6863847717	-0.533921795492	1.55309235426	-0.900979910303	-1.47405432977	-1.44288183966	-0.902038961887	0.182245476836	1.21540933858	-1.58539275881	-0.694699815677	-0.305368303498	0.524823148732	-1.73004561427	2.09551932637	-1.17907256329	1.0081112828	0.103199316367	0.867235279517	-1.26770488468	-0.0674318634226	-1.39640983659	0.420296308494	0.149389771382	1.31834300393	-1.16294217358	0.19851957631	0.801115900287	2.9082129387	1.60460889009	0.31661299866	0.508254440662	-0.879123200874	0.930825684119	-1.20830785185	0.652519006929	-0.0639864552653	1.62806770382	-1.10502179898	-0.230266561241	0.790288095386	-0.913325965737	-0.150810903139	-0.49642289452	0.69563089486	-0.573504707081	-0.214507148977	-2.14706704934	-0.427353388113	0.142581533761
row8	-0.271860983397	-0.101058868758	0.583515047374	0.30427255541	0.253068551091	-0.0353338517021	0.478577932859	1.16224809141	-1.12772626492	-0.496515855785	0.38807328863	-0.92639152163	0.726484275324	-0.411047196298	-0.331163896551	-1.41500255616	0.976881785485	-0.591507971725	1.69080294109	-0.153404601939	0.565104504801	0.140675581688	-0.419701462551	1.67940510557	0.260783545665	0.132305487108	1.61765657843	-0.490659289765	-0.329283376629	-0.60445801747	-0.536948505832	0.238919885556	0.117762350803	-2.72423589571	-0.872945412784	-0.984521758918	0.0664352950769	-0.921117780251	1.32246302606	-1.57860255263	-0.0831360590163	0.0309248285406	0.130814075723	0.335696315298	-1.12127982956	-0.355218736531	0.488385826071	0.641647304207	1.12307292465	0.240398176893	0.998842817454	-1.13193905016	1.5482015541	1.3706987044	-0.622359261064	-0.566455435805	0.856194650961	-2.26509773926	-0.940975624203	-0.685287561238	-0.0195160764715	1.99746956277	-1.5550911712	0.317154977604	0.980067076467	-0.247993878923	-0.302200205636	0.179606762359	0.0432507720738	-1.3829537115	0.306565516607	-1.15323279863	0.370374063182	-0.230192142473	0.828558056145	-0.909464794215	0.04570889432	0.554757923311	-0.314057217232	0.44700712122	1.26455957868	0.720182598718	-0.47858398796	-2.46754797374	0.338352183448	-2.23043079792	0.370239749811	-0.848812051254	0.159387447816	-0.766252652605	-0.288693151766	-0.614228048822	1.69226882022	-1.85418854405	-1.12203307116	0.956922352774	0.304518638525	1.5357627101	-1.06723227349	0.029766007319
row9	-0.289249230113	0.468585745036	0.541983944437	0.724030164864	0.325215819002	2.43858908955	-0.561242700257	0.926701017663	0.287924214696	0.0815467591526	-0.312608616591	1.14460010027	-0.277739511596	0.656781202316	-0.872282750895	0.814368121941	1.00789116837	1.38590561592	-0.563329378496	-0.230317800451	0.395341370075	-0.954618691015	1.1146974797	0.2103536757	-1.1749369767	-0.521792589084	-0.0639941667298	0.619012099776	-0.238095790145	-0.314145495023	1.02712800306	0.421437205118	-0.396322917691	-2.1211006766	0.453320586004	0.435764813278	0.569136553473	-0.838190667229	0.071891238835	0.437826654786	-1.42290426863	1.40340390992	2.02240535276	0.813007589982	1.33097400618	-1.02811210228	1.16702048436	0.194998346136	-1.10285189291	1.33856445131	0.290077132908	-0.655722814069	-0.285965092394	1.56405302978	-1.42296326774	0.183847087886	-1.08503281892	-0.196706335567	-1.44901462001	0.770877715408	-0.498549908666	0.241181973078	1.34159545094	-0.834978630975	0.908261025595	-0.575406812971	-0.227182064631	0.607055395843	-1.61558739379	0.881079265393	-0.442774745353	-0.290623500622	0.629785489337	-0.358541764329	1.53087666888	-0.0997864040387	0.253542652088	-1.43254120689	-0.264448746619	0.0339227396364	-0.272528895044	0.681691384559	-1.74410787728	0.690339997576	-1.94837470424	1.08719589786	-0.196991785688	-1.22019850381	0.0137098882816	-0.755669435248	-0.988697878579	0.589228818811	0.20179247719	-0.298682863741	1.09256009022	0.910918520663	-0.859461515893	-1.25407784691	0.097982599027	-0.306298352929
